constructorId,points,position,positionText,wins
ferrari,66.0,3,3,0
force_india,57.0,4,4,0
williams,46.0,5,5,0
mclaren,43.0,6,6,0
toro_rosso,8.0,7,7,0
lotus_f1,4.0,8,8,0
sauber,0.0,9,9,0
marussia,0.0,10,10,0
caterham,0.0,11,11,0
mercedes,240.0,1,1,6
red_bull,99.0,2,2,0
ferrari,78.0,3,3,0
force_india,67.0,4,4,0
mclaren,52.0,5,5,0
williams,52.0,6,6,0
lotus_f1,8.0,7,7,0
toro_rosso,8.0,8,8,0
marussia,2.0,9,9,0
sauber,0.0,10,10,0
caterham,0.0,11,11,0
mercedes,258.0,1,1,6
red_bull,139.0,2,2,1
ferrari,87.0,3,3,0
force_india,77.0,4,4,0
mclaren,66.0,5,5,0
williams,58.0,6,6,0
toro_rosso,12.0,7,7,0
lotus_f1,8.0,8,8,0
marussia,2.0,9,9,0
sauber,0.0,10,10,0
caterham,0.0,11,11,0
mercedes,301.0,1,1,7
red_bull,143.0,2,2,1
ferrari,98.0,3,3,0
force_india,87.0,4,4,0
williams,85.0,5,5,0
mclaren,72.0,6,6,0
toro_rosso,12.0,7,7,0
lotus_f1,8.0,8,8,0
marussia,2.0,9,9,0
sauber,0.0,10,10,0
caterham,0.0,11,11,0
mercedes,326.0,1,1,8
red_bull,168.0,2,2,1
ferrari,106.0,3,3,0
williams,103.0,4,4,0
force_india,91.0,5,5,0
mclaren,90.0,6,6,0
toro_rosso,15.0,7,7,0
lotus_f1,8.0,8,8,0
marussia,2.0,9,9,0
sauber,0.0,10,10,0
caterham,0.0,11,11,0
mercedes,366.0,1,1,9
red_bull,188.0,2,2,1
williams,121.0,3,3,0
ferrari,116.0,4,4,0
force_india,98.0,5,5,0
mclaren,96.0,6,6,0
toro_rosso,15.0,7,7,0
lotus_f1,8.0,8,8,0
marussia,2.0,9,9,0
sauber,0.0,10,10,0
caterham,0.0,11,11,0
mercedes,393.0,1,1,9
red_bull,219.0,2,2,2
ferrari,142.0,3,3,0
williams,135.0,4,4,0
force_india,98.0,5,5,0
mclaren,97.0,6,6,0
toro_rosso,17.0,7,7,0
lotus_f1,8.0,8,8,0
marussia,2.0,9,9,0
sauber,0.0,10,10,0
caterham,0.0,11,11,0
mercedes,411.0,1,1,9
red_bull,254.0,2,2,3
ferrari,160.0,3,3,0
williams,150.0,4,4,0
mclaren,105.0,5,5,0
force_india,103.0,6,6,0
toro_rosso,19.0,7,7,0
lotus_f1,8.0,8,8,0
marussia,2.0,9,9,0
sauber,0.0,10,10,0
caterham,0.0,11,11,0
mercedes,454.0,1,1,10
red_bull,272.0,2,2,3
williams,177.0,3,3,0
ferrari,162.0,4,4,0
mclaren,110.0,5,5,0
force_india,109.0,6,6,0
toro_rosso,19.0,7,7,0
lotus_f1,8.0,8,8,0
marussia,2.0,9,9,0
sauber,0.0,10,10,0
caterham,0.0,11,11,0
mercedes,479.0,1,1,11
red_bull,305.0,2,2,3
williams,187.0,3,3,0
ferrari,178.0,4,4,0
force_india,117.0,5,5,0
mclaren,111.0,6,6,0
toro_rosso,27.0,7,7,0
lotus_f1,8.0,8,8,0
marussia,2.0,9,9,0
sauber,0.0,10,10,0
caterham,0.0,11,11,0
mercedes,522.0,1,1,12
red_bull,332.0,2,2,3
williams,201.0,3,3,0
ferrari,178.0,4,4,0
force_india,122.0,5,5,0
mclaren,121.0,6,6,0
toro_rosso,29.0,7,7,0
lotus_f1,8.0,8,8,0
marussia,2.0,9,9,0
sauber,0.0,10,10,0
caterham,0.0,11,11,0
mercedes,565.0,1,1,13
red_bull,342.0,2,2,3
williams,216.0,3,3,0
ferrari,188.0,4,4,0
mclaren,143.0,5,5,0
force_india,123.0,6,6,0
toro_rosso,29.0,7,7,0
lotus_f1,8.0,8,8,0
marussia,2.0,9,9,0
sauber,0.0,10,10,0
caterham,0.0,11,11,0
mercedes,608.0,1,1,14
red_bull,363.0,2,2,3
williams,238.0,3,3,0
ferrari,196.0,4,4,0
mclaren,147.0,5,5,0
force_india,123.0,6,6,0
toro_rosso,30.0,7,7,0
lotus_f1,10.0,8,8,0
marussia,2.0,9,9,0
sauber,0.0,10,10,0
caterham,0.0,11,11,0
mercedes,651.0,1,1,15
red_bull,373.0,2,2,3
williams,254.0,3,3,0
ferrari,210.0,4,4,0
mclaren,161.0,5,5,0
force_india,127.0,6,6,0
toro_rosso,30.0,7,7,0
lotus_f1,10.0,8,8,0
marussia,2.0,9,9,0
sauber,0.0,10,10,0
caterham,0.0,11,11,0
mercedes,701.0,1,1,16
red_bull,405.0,2,2,3
williams,320.0,3,3,0
ferrari,216.0,4,4,0
mclaren,181.0,5,5,0
force_india,155.0,6,6,0
toro_rosso,30.0,7,7,0
lotus_f1,10.0,8,8,0
marussia,2.0,9,9,0
sauber,0.0,10,10,0
caterham,0.0,11,11,0
mercedes,43.0,1,1,1
ferrari,15.0,2,2,0
sauber,14.0,3,3,0
williams,12.0,4,4,0
red_bull,8.0,5,5,0
force_india,7.0,6,6,0
toro_rosso,2.0,7,7,0
mclaren,0.0,8,8,0
lotus_f1,0.0,9,9,0
mercedes,76.0,1,1,1
ferrari,52.0,2,2,1
williams,30.0,3,3,0
sauber,14.0,4,4,0
toro_rosso,12.0,5,5,0
red_bull,11.0,6,6,0
force_india,7.0,7,7,0
lotus_f1,0.0,8,8,0
mclaren,0.0,9,9,0
manor,0.0,10,10,0
mercedes,119.0,1,1,2
ferrari,79.0,2,2,1
williams,48.0,3,3,0
sauber,19.0,4,4,0
red_bull,13.0,5,5,0
toro_rosso,12.0,6,6,0
force_india,7.0,7,7,0
lotus_f1,6.0,8,8,0
mclaren,0.0,9,9,0
manor,0.0,10,10,0
mercedes,159.0,1,1,3
ferrari,107.0,2,2,1
williams,61.0,3,3,0
red_bull,23.0,4,4,0
sauber,19.0,5,5,0
lotus_f1,12.0,6,6,0
toro_rosso,12.0,7,7,0
force_india,11.0,8,8,0
mclaren,0.0,9,9,0
manor,0.0,10,10,0
mercedes,202.0,1,1,4
ferrari,132.0,2,2,1
williams,81.0,3,3,0
red_bull,30.0,4,4,0
sauber,19.0,5,5,0
lotus_f1,16.0,6,6,0
toro_rosso,14.0,7,7,0
force_india,11.0,8,8,0
mclaren,0.0,9,9,0
manor,0.0,10,10,0
mercedes,242.0,1,1,5
ferrari,158.0,2,2,1
williams,81.0,3,3,0
red_bull,52.0,4,4,0
sauber,21.0,5,5,0
force_india,17.0,6,6,0
lotus_f1,16.0,7,7,0
toro_rosso,15.0,8,8,0
mclaren,4.0,9,9,0
manor,0.0,10,10,0
mercedes,285.0,1,1,6
ferrari,180.0,2,2,1
williams,104.0,3,3,0
red_bull,54.0,4,4,0
lotus_f1,23.0,5,5,0
sauber,21.0,6,6,0
force_india,21.0,7,7,0
toro_rosso,15.0,8,8,0
mclaren,4.0,9,9,0
manor,0.0,10,10,0
mercedes,328.0,1,1,7
ferrari,192.0,2,2,1
williams,129.0,3,3,0
red_bull,55.0,4,4,0
force_india,31.0,5,5,0
lotus_f1,29.0,6,6,0
sauber,21.0,7,7,0
toro_rosso,19.0,8,8,0
mclaren,4.0,9,9,0
manor,0.0,10,10,0
mercedes,371.0,1,1,8
ferrari,211.0,2,2,1
williams,151.0,3,3,0
red_bull,63.0,4,4,0
force_india,39.0,5,5,0
lotus_f1,29.0,6,6,0
sauber,21.0,7,7,0
toro_rosso,19.0,8,8,0
mclaren,5.0,9,9,0
manor,0.0,10,10,0
mercedes,383.0,1,1,8
ferrari,236.0,2,2,2
williams,151.0,3,3,0
red_bull,96.0,4,4,0
force_india,39.0,5,5,0
lotus_f1,35.0,6,6,0
toro_rosso,31.0,7,7,0
sauber,22.0,8,8,0
mclaren,17.0,9,9,0
manor,0.0,10,10,0
mercedes,426.0,1,1,9
ferrari,242.0,2,2,2
williams,161.0,3,3,0
red_bull,108.0,4,4,0
lotus_f1,50.0,5,5,0
force_india,49.0,6,6,0
toro_rosso,35.0,7,7,0
sauber,23.0,8,8,0
mclaren,17.0,9,9,0
manor,0.0,10,10,0
mercedes,451.0,1,1,10
ferrari,270.0,2,2,2
williams,188.0,3,3,0
red_bull,113.0,4,4,0
force_india,63.0,5,5,0
lotus_f1,50.0,6,6,0
toro_rosso,35.0,7,7,0
sauber,25.0,8,8,0
mclaren,17.0,9,9,0
manor,0.0,10,10,0
mercedes,463.0,1,1,10
ferrari,310.0,2,2,3
williams,198.0,3,3,0
red_bull,139.0,4,4,0
force_india,69.0,5,5,0
lotus_f1,50.0,6,6,0
toro_rosso,41.0,7,7,0
sauber,26.0,8,8,0
mclaren,17.0,9,9,0
manor,0.0,10,10,0
mercedes,506.0,1,1,11
ferrari,337.0,2,2,3
williams,208.0,3,3,0
red_bull,139.0,4,4,0
force_india,77.0,5,5,0
lotus_f1,60.0,6,6,0
toro_rosso,44.0,7,7,0
sauber,26.0,8,8,0
mclaren,17.0,9,9,0
manor,0.0,10,10,0
mercedes,531.0,1,1,12
ferrari,359.0,2,2,3
williams,220.0,3,3,0
red_bull,149.0,4,4,0
force_india,92.0,5,5,0
lotus_f1,66.0,6,6,0
toro_rosso,45.0,7,7,0
sauber,34.0,8,8,0
mclaren,19.0,9,9,0
manor,0.0,10,10,0
mercedes,574.0,1,1,13
ferrari,374.0,2,2,3
williams,220.0,3,3,0
red_bull,150.0,4,4,0
force_india,102.0,5,5,0
lotus_f1,70.0,6,6,0
toro_rosso,63.0,7,7,0
sauber,36.0,8,8,0
mclaren,27.0,9,9,0
manor,0.0,10,10,0
mercedes,617.0,1,1,14
ferrari,374.0,2,2,3
williams,243.0,3,3,0
red_bull,172.0,4,4,0
force_india,112.0,5,5,0
lotus_f1,71.0,6,6,0
toro_rosso,65.0,7,7,0
sauber,36.0,8,8,0
mclaren,27.0,9,9,0
manor,0.0,10,10,0
mercedes,660.0,1,1,15
ferrari,401.0,2,2,3
williams,253.0,3,3,0
red_bull,178.0,4,4,0
force_india,120.0,5,5,0
lotus_f1,76.0,6,6,0
toro_rosso,67.0,7,7,0
sauber,36.0,8,8,0
mclaren,27.0,9,9,0
manor,0.0,10,10,0
mercedes,703.0,1,1,16
ferrari,428.0,2,2,3
williams,257.0,3,3,0
red_bull,187.0,4,4,0
force_india,136.0,5,5,0
lotus_f1,78.0,6,6,0
toro_rosso,67.0,7,7,0
sauber,36.0,8,8,0
mclaren,27.0,9,9,0
manor,0.0,10,10,0
mercedes,43.0,1,1,1
ferrari,15.0,2,2,0
williams,14.0,3,3,0
red_bull,12.0,4,4,0
haas,8.0,5,5,0
force_india,6.0,6,6,0
toro_rosso,3.0,7,7,0
renault,0.0,8,8,0
mclaren,0.0,9,9,0
sauber,0.0,10,10,0
manor,0.0,11,11,0
mercedes,83.0,1,1,2
ferrari,33.0,2,2,0
red_bull,30.0,3,3,0
williams,20.0,4,4,0
haas,18.0,5,5,0
toro_rosso,11.0,6,6,0
force_india,6.0,7,7,0
mclaren,1.0,8,8,0
renault,0.0,9,9,0
sauber,0.0,10,10,0
manor,0.0,11,11,0
mercedes,114.0,1,1,3
ferrari,61.0,2,2,0
red_bull,57.0,3,3,0
williams,29.0,4,4,0
haas,18.0,5,5,0
toro_rosso,17.0,6,6,0
force_india,6.0,7,7,0
mclaren,1.0,8,8,0
renault,0.0,9,9,0
sauber,0.0,10,10,0
manor,0.0,11,11,0
mercedes,157.0,1,1,4
ferrari,76.0,2,2,0
red_bull,57.0,3,3,0
williams,51.0,4,4,0
haas,22.0,5,5,0
toro_rosso,17.0,6,6,0
mclaren,10.0,7,7,0
force_india,8.0,8,8,0
renault,6.0,9,9,0
sauber,0.0,10,10,0
manor,0.0,11,11,0
mercedes,157.0,1,1,4
ferrari,109.0,2,2,0
red_bull,94.0,3,3,1
williams,65.0,4,4,0
toro_rosso,26.0,5,5,0
haas,22.0,6,6,0
force_india,14.0,7,7,0
mclaren,12.0,8,8,0
renault,6.0,9,9,0
sauber,0.0,10,10,0
manor,0.0,11,11,0
mercedes,188.0,1,1,5
ferrari,121.0,2,2,0
red_bull,112.0,3,3,1
williams,66.0,4,4,0
force_india,37.0,5,5,0
toro_rosso,30.0,6,6,0
mclaren,24.0,7,7,0
haas,22.0,8,8,0
renault,6.0,9,9,0
sauber,0.0,10,10,0
manor,0.0,11,11,0
mercedes,223.0,1,1,6
ferrari,147.0,2,2,0
red_bull,130.0,3,3,1
williams,81.0,4,4,0
force_india,42.0,5,5,0
toro_rosso,32.0,6,6,0
mclaren,24.0,7,7,0
haas,22.0,8,8,0
renault,6.0,9,9,0
sauber,0.0,10,10,0
manor,0.0,11,11,0
mercedes,258.0,1,1,7
ferrari,177.0,2,2,0
red_bull,140.0,3,3,1
williams,90.0,4,4,0
force_india,59.0,5,5,0
toro_rosso,32.0,6,6,0
mclaren,24.0,7,7,0
haas,22.0,8,8,0
renault,6.0,9,9,0
sauber,0.0,10,10,0
manor,0.0,11,11,0
mercedes,295.0,1,1,8
ferrari,192.0,2,2,0
red_bull,168.0,3,3,1
williams,92.0,4,4,0
force_india,59.0,5,5,0
toro_rosso,36.0,6,6,0
mclaren,32.0,7,7,0
haas,28.0,8,8,0
renault,6.0,9,9,0
manor,1.0,10,10,0
sauber,0.0,11,11,0
mercedes,335.0,1,1,9
ferrari,204.0,2,2,0
red_bull,198.0,3,3,1
williams,92.0,4,4,0
force_india,73.0,5,5,0
toro_rosso,41.0,6,6,0
mclaren,32.0,7,7,0
haas,28.0,8,8,0
renault,6.0,9,9,0
manor,1.0,10,10,0
sauber,0.0,11,11,0
mercedes,378.0,1,1,10
ferrari,224.0,2,2,0
red_bull,223.0,3,3,1
williams,94.0,4,4,0
force_india,74.0,5,5,0
toro_rosso,45.0,6,6,0
mclaren,38.0,7,7,0
haas,28.0,8,8,0
renault,6.0,9,9,0
manor,1.0,10,10,0
sauber,0.0,11,11,0
mercedes,415.0,1,1,11
red_bull,256.0,2,2,1
ferrari,242.0,3,3,0
williams,96.0,4,4,0
force_india,81.0,5,5,0
toro_rosso,45.0,6,6,0
mclaren,42.0,7,7,0
haas,28.0,8,8,0
renault,6.0,9,9,0
manor,1.0,10,10,0
sauber,0.0,11,11,0
mercedes,455.0,1,1,12
red_bull,274.0,2,2,1
ferrari,252.0,3,3,0
force_india,103.0,4,4,0
williams,101.0,5,5,0
mclaren,48.0,6,6,0
toro_rosso,45.0,7,7,0
haas,28.0,8,8,0
renault,6.0,9,9,0
manor,1.0,10,10,0
sauber,0.0,11,11,0
mercedes,498.0,1,1,13
red_bull,290.0,2,2,1
ferrari,279.0,3,3,0
williams,111.0,4,4,0
force_india,108.0,5,5,0
mclaren,48.0,6,6,0
toro_rosso,45.0,7,7,0
haas,28.0,8,8,0
renault,6.0,9,9,0
manor,1.0,10,10,0
sauber,0.0,11,11,0
mercedes,538.0,1,1,14
red_bull,316.0,2,2,1
ferrari,301.0,3,3,0
force_india,112.0,4,4,0
williams,111.0,5,5,0
mclaren,54.0,6,6,0
toro_rosso,47.0,7,7,0
haas,28.0,8,8,0
renault,7.0,9,9,0
manor,1.0,10,10,0
sauber,0.0,11,11,0
mercedes,553.0,1,1,14
red_bull,359.0,2,2,2
ferrari,313.0,3,3,0
force_india,124.0,4,4,0
williams,121.0,5,5,0
mclaren,62.0,6,6,0
toro_rosso,47.0,7,7,0
haas,28.0,8,8,0
renault,8.0,9,9,0
manor,1.0,10,10,0
sauber,0.0,11,11,0
mercedes,593.0,1,1,15
red_bull,385.0,2,2,2
ferrari,335.0,3,3,0
force_india,134.0,4,4,0
williams,124.0,5,5,0
mclaren,62.0,6,6,0
toro_rosso,47.0,7,7,0
haas,28.0,8,8,0
renault,8.0,9,9,0
manor,1.0,10,10,0
sauber,0.0,11,11,0
mercedes,636.0,1,1,16
red_bull,400.0,2,2,2
ferrari,347.0,3,3,0
force_india,138.0,4,4,0
williams,130.0,5,5,0
mclaren,74.0,6,6,0
toro_rosso,55.0,7,7,0
haas,29.0,8,8,0
renault,8.0,9,9,0
manor,1.0,10,10,0
sauber,0.0,11,11,0
mercedes,679.0,1,1,17
red_bull,427.0,2,2,2
ferrari,365.0,3,3,0
force_india,145.0,4,4,0
williams,136.0,5,5,0
mclaren,74.0,6,6,0
toro_rosso,55.0,7,7,0
haas,29.0,8,8,0
renault,8.0,9,9,0
manor,1.0,10,10,0
sauber,0.0,11,11,0
mercedes,722.0,1,1,18
red_bull,446.0,2,2,2
ferrari,375.0,3,3,0
force_india,163.0,4,4,0
williams,136.0,5,5,0
mclaren,75.0,6,6,0
toro_rosso,63.0,7,7,0
haas,29.0,8,8,0
renault,8.0,9,9,0
sauber,2.0,10,10,0
manor,1.0,11,11,0
mercedes,765.0,1,1,19
red_bull,468.0,2,2,2
ferrari,398.0,3,3,0
force_india,173.0,4,4,0
williams,138.0,5,5,0
mclaren,76.0,6,6,0
toro_rosso,63.0,7,7,0
haas,29.0,8,8,0
renault,8.0,9,9,0
sauber,2.0,10,10,0
manor,1.0,11,11,0
ferrari,37.0,1,1,1
mercedes,33.0,2,2,0
red_bull,10.0,3,3,0
williams,8.0,4,4,0
force_india,7.0,5,5,0
toro_rosso,6.0,6,6,0
renault,0.0,7,7,0
sauber,0.0,8,8,0
mclaren,0.0,9,9,0
haas,0.0,10,10,0
mercedes,66.0,1,1,1
ferrari,65.0,2,2,1
red_bull,37.0,3,3,0
toro_rosso,12.0,4,4,0
force_india,10.0,5,5,0
williams,8.0,6,6,0
haas,4.0,7,7,0
renault,0.0,8,8,0
sauber,0.0,9,9,0
mclaren,0.0,10,10,0
ferrari,102.0,1,1,2
mercedes,99.0,2,2,1
red_bull,47.0,3,3,0
force_india,17.0,4,4,0
williams,16.0,5,5,0
toro_rosso,12.0,6,6,0
haas,8.0,7,7,0
renault,2.0,8,8,0
sauber,0.0,9,9,0
mclaren,0.0,10,10,0
mercedes,136.0,1,1,2
ferrari,135.0,2,2,2
red_bull,57.0,3,3,0
force_india,31.0,4,4,0
williams,18.0,5,5,0
toro_rosso,13.0,6,6,0
haas,8.0,7,7,0
renault,6.0,8,8,0
sauber,0.0,9,9,0
mclaren,0.0,10,10,0
mercedes,161.0,1,1,3
ferrari,153.0,2,2,2
red_bull,72.0,3,3,0
force_india,53.0,4,4,0
toro_rosso,21.0,5,5,0
williams,18.0,6,6,0
renault,14.0,7,7,0
haas,9.0,8,8,0
sauber,4.0,9,9,0
mclaren,0.0,10,10,0
ferrari,196.0,1,1,3
mercedes,179.0,2,2,3
red_bull,97.0,3,3,0
force_india,53.0,4,4,0
toro_rosso,29.0,5,5,0
williams,20.0,6,6,0
renault,14.0,7,7,0
haas,14.0,8,8,0
sauber,4.0,9,9,0
mclaren,0.0,10,10,0
mercedes,222.0,1,1,4
ferrari,214.0,2,2,3
red_bull,112.0,3,3,0
force_india,71.0,4,4,0
toro_rosso,29.0,5,5,0
williams,22.0,6,6,0
renault,18.0,7,7,0
haas,15.0,8,8,0
sauber,4.0,9,9,0
mclaren,0.0,10,10,0
mercedes,250.0,1,1,4
ferrari,226.0,2,2,3
red_bull,137.0,3,3,1
force_india,79.0,4,4,0
williams,37.0,5,5,0
toro_rosso,33.0,6,6,0
haas,21.0,7,7,0
renault,18.0,8,8,0
sauber,5.0,9,9,0
mclaren,2.0,10,10,0
mercedes,287.0,1,1,5
ferrari,254.0,2,2,3
red_bull,152.0,3,3,1
force_india,89.0,4,4,0
williams,40.0,5,5,0
toro_rosso,33.0,6,6,0
haas,29.0,7,7,0
renault,18.0,8,8,0
sauber,5.0,9,9,0
mclaren,2.0,10,10,0
mercedes,330.0,1,1,6
ferrari,275.0,2,2,3
red_bull,174.0,3,3,1
force_india,95.0,4,4,0
williams,41.0,5,5,0
toro_rosso,33.0,6,6,0
haas,29.0,7,7,0
renault,26.0,8,8,0
sauber,5.0,9,9,0
mclaren,2.0,10,10,0
mercedes,357.0,1,1,6
ferrari,318.0,2,2,4
red_bull,184.0,3,3,1
force_india,101.0,4,4,0
williams,41.0,5,5,0
toro_rosso,39.0,6,6,0
haas,29.0,7,7,0
renault,26.0,8,8,0
mclaren,11.0,9,9,0
sauber,5.0,10,10,0
mercedes,392.0,1,1,7
ferrari,348.0,2,2,4
red_bull,199.0,3,3,1
force_india,103.0,4,4,0
williams,45.0,5,5,0
toro_rosso,40.0,6,6,0
haas,35.0,7,7,0
renault,34.0,8,8,0
mclaren,11.0,9,9,0
sauber,5.0,10,10,0
mercedes,435.0,1,1,8
ferrari,373.0,2,2,4
red_bull,212.0,3,3,1
force_india,113.0,4,4,0
williams,55.0,5,5,0
toro_rosso,40.0,6,6,0
haas,35.0,7,7,0
renault,34.0,8,8,0
mclaren,11.0,9,9,0
sauber,5.0,10,10,0
mercedes,475.0,1,1,9
ferrari,373.0,2,2,4
red_bull,230.0,3,3,1
force_india,124.0,4,4,0
williams,59.0,5,5,0
toro_rosso,52.0,6,6,0
renault,42.0,7,7,0
haas,37.0,8,8,0
mclaren,17.0,9,9,0
sauber,5.0,10,10,0
mercedes,503.0,1,1,9
ferrari,385.0,2,2,4
red_bull,270.0,3,3,2
force_india,133.0,4,4,0
williams,65.0,5,5,0
toro_rosso,52.0,6,6,0
renault,42.0,7,7,0
haas,37.0,8,8,0
mclaren,23.0,9,9,0
sauber,5.0,10,10,0
mercedes,540.0,1,1,10
ferrari,395.0,2,2,4
red_bull,303.0,3,3,2
force_india,147.0,4,4,0
williams,66.0,5,5,0
toro_rosso,52.0,6,6,0
haas,43.0,7,7,0
renault,42.0,8,8,0
mclaren,23.0,9,9,0
sauber,5.0,10,10,0
mercedes,575.0,1,1,11
ferrari,428.0,2,2,4
red_bull,315.0,3,3,2
force_india,159.0,4,4,0
williams,68.0,5,5,0
toro_rosso,53.0,6,6,0
renault,48.0,7,7,0
haas,43.0,8,8,0
mclaren,23.0,9,9,0
sauber,5.0,10,10,0
mercedes,595.0,1,1,11
ferrari,455.0,2,2,4
red_bull,340.0,3,3,3
force_india,175.0,4,4,0
williams,76.0,5,5,0
toro_rosso,53.0,6,6,0
renault,48.0,7,7,0
haas,47.0,8,8,0
mclaren,24.0,9,9,0
sauber,5.0,10,10,0
mercedes,625.0,1,1,11
ferrari,495.0,2,2,5
red_bull,358.0,3,3,3
force_india,177.0,4,4,0
williams,82.0,5,5,0
toro_rosso,53.0,6,6,0
renault,49.0,7,7,0
haas,47.0,8,8,0
mclaren,28.0,9,9,0
sauber,5.0,10,10,0
mercedes,668.0,1,1,12
ferrari,522.0,2,2,5
red_bull,368.0,3,3,3
force_india,187.0,4,4,0
williams,83.0,5,5,0
renault,57.0,6,6,0
toro_rosso,53.0,7,7,0
haas,47.0,8,8,0
mclaren,30.0,9,9,0
sauber,5.0,10,10,0
ferrari,40.0,1,1,1
mercedes,22.0,2,2,0
red_bull,20.0,3,3,0
mclaren,12.0,4,4,0
renault,7.0,5,5,0
force_india,0.0,6,6,0
sauber,0.0,7,7,0
williams,0.0,8,8,0
toro_rosso,0.0,9,9,0
haas,0.0,10,10,0
ferrari,65.0,1,1,2
mercedes,55.0,2,2,0
mclaren,22.0,3,3,0
red_bull,20.0,4,4,0
renault,15.0,5,5,0
toro_rosso,12.0,6,6,0
haas,10.0,7,7,0
sauber,2.0,8,8,0
force_india,1.0,9,9,0
williams,0.0,10,10,0
mercedes,85.0,1,1,0
ferrari,84.0,2,2,2
red_bull,55.0,3,3,1
mclaren,28.0,4,4,0
renault,25.0,5,5,0
toro_rosso,12.0,6,6,0
haas,11.0,7,7,0
sauber,2.0,8,8,0
force_india,1.0,9,9,0
williams,0.0,10,10,0
ferrari,114.0,1,1,2
mercedes,110.0,2,2,1
red_bull,55.0,3,3,1
mclaren,36.0,4,4,0
renault,35.0,5,5,0
force_india,16.0,6,6,0
toro_rosso,13.0,7,7,0
haas,11.0,8,8,0
sauber,10.0,9,9,0
williams,4.0,10,10,0
mercedes,153.0,1,1,2
ferrari,126.0,2,2,2
red_bull,80.0,3,3,1
renault,41.0,4,4,0
mclaren,40.0,5,5,0
haas,19.0,6,6,0
force_india,18.0,7,7,0
toro_rosso,13.0,8,8,0
sauber,11.0,9,9,0
williams,4.0,10,10,0
mercedes,178.0,1,1,2
ferrari,156.0,2,2,2
red_bull,107.0,3,3,2
renault,46.0,4,4,0
mclaren,40.0,5,5,0
force_india,26.0,6,6,0
toro_rosso,19.0,7,7,0
haas,19.0,8,8,0
sauber,11.0,9,9,0
williams,4.0,10,10,0
mercedes,206.0,1,1,2
ferrari,189.0,2,2,3
red_bull,134.0,3,3,2
renault,56.0,4,4,0
mclaren,40.0,5,5,0
force_india,28.0,6,6,0
toro_rosso,19.0,7,7,0
haas,19.0,8,8,0
sauber,12.0,9,9,0
williams,4.0,10,10,0
mercedes,237.0,1,1,3
ferrari,214.0,2,2,3
red_bull,164.0,3,3,2
renault,62.0,4,4,0
mclaren,40.0,5,5,0
force_india,28.0,6,6,0
haas,27.0,7,7,0
toro_rosso,19.0,8,8,0
sauber,13.0,9,9,0
williams,4.0,10,10,0
ferrari,247.0,1,1,3
mercedes,237.0,2,2,3
red_bull,189.0,3,3,3
renault,62.0,4,4,0
haas,49.0,5,5,0
mclaren,44.0,6,6,0
force_india,42.0,7,7,0
toro_rosso,19.0,8,8,0
sauber,16.0,9,9,0
williams,4.0,10,10,0
ferrari,287.0,1,1,4
mercedes,267.0,2,2,3
red_bull,199.0,3,3,3
renault,70.0,4,4,0
haas,51.0,5,5,0
force_india,49.0,6,6,0
mclaren,48.0,7,7,0
toro_rosso,19.0,8,8,0
sauber,16.0,9,9,0
williams,4.0,10,10,0
mercedes,310.0,1,1,4
ferrari,302.0,2,2,4
red_bull,211.0,3,3,3
renault,80.0,4,4,0
force_india,59.0,5,5,0
haas,59.0,6,6,0
mclaren,48.0,7,7,0
toro_rosso,20.0,8,8,0
sauber,18.0,9,9,0
williams,4.0,10,10,0
mercedes,345.0,1,1,5
ferrari,335.0,2,2,4
red_bull,223.0,3,3,3
renault,82.0,4,4,0
haas,66.0,5,5,0
force_india,59.0,6,6,0
mclaren,52.0,7,7,0
toro_rosso,28.0,8,8,0
sauber,18.0,9,9,0
williams,4.0,10,10,0
mercedes,375.0,1,1,5
ferrari,360.0,2,2,5
red_bull,238.0,3,3,3
renault,82.0,4,4,0
haas,76.0,5,5,0
mclaren,52.0,6,6,0
toro_rosso,30.0,7,7,0
sauber,19.0,8,8,0
force_india,18.0,9,9,0
williams,4.0,10,10,0
mercedes,415.0,1,1,6
ferrari,390.0,2,2,5
red_bull,248.0,3,3,3
renault,86.0,4,4,0
haas,76.0,5,5,0
mclaren,52.0,6,6,0
force_india,32.0,7,7,0
toro_rosso,30.0,8,8,0
sauber,19.0,9,9,0
williams,7.0,10,10,0
mercedes,452.0,1,1,7
ferrari,415.0,2,2,5
red_bull,274.0,3,3,3
renault,91.0,4,4,0
haas,76.0,5,5,0
mclaren,58.0,6,6,0
force_india,32.0,7,7,0
toro_rosso,30.0,8,8,0
sauber,21.0,9,9,0
williams,7.0,10,10,0
mercedes,495.0,1,1,8
ferrari,442.0,2,2,5
red_bull,292.0,3,3,3
renault,91.0,4,4,0
haas,80.0,5,5,0
mclaren,58.0,6,6,0
force_india,35.0,7,7,0
toro_rosso,30.0,8,8,0
sauber,27.0,9,9,0
williams,7.0,10,10,0
mercedes,538.0,1,1,9
ferrari,460.0,2,2,5
red_bull,319.0,3,3,3
renault,92.0,4,4,0
haas,84.0,5,5,0
mclaren,58.0,6,6,0
force_india,43.0,7,7,0
toro_rosso,30.0,8,8,0
sauber,27.0,9,9,0
williams,7.0,10,10,0
mercedes,563.0,1,1,9
ferrari,497.0,2,2,6
red_bull,337.0,3,3,3
renault,106.0,4,4,0
haas,84.0,5,5,0
mclaren,58.0,6,6,0
force_india,47.0,7,7,0
toro_rosso,32.0,8,8,0
sauber,28.0,9,9,0
williams,7.0,10,10,0
